x,y,z,sx,sy,txy
8.5,0.25,0.0,19.500011633693696,-1.9073486328125e-12,1.1066363399772643
8.25,0.25,0.0,20.25001208111334,0.0,0.9683172266016007
9.0,0.25,0.0,18.000010738839148,0.0,1.10663634000206
8.75,0.25,0.0,18.750011186265944,1.9073486328125e-12,0.9683172266097069
9.5,0.25,0.0,16.50000984397149,5.7220458984375e-12,1.1066363400039674
9.25,0.25,0.0,17.250010291406632,0.0,0.9683172266254425
10.0,0.25,0.0,15.000008949069978,8.58306884765625e-12,1.1066363400497436
9.75,0.25,0.0,15.750009396518708,7.62939453125e-12,0.968317226641655
10.5,0.25,0.0,13.500008054150582,-2.002716064453125e-11,1.1066363401126862
10.25,0.25,0.0,14.250008501609802,1.52587890625e-11,0.9683172266349792
11.0,0.25,0.0,12.000007159212112,-2.288818359375e-10,1.106636340713501
10.75,0.25,0.0,12.750007606671334,2.6702880859375e-11,0.9683172265310287
11.5,0.25,0.0,10.50000626409626,-1.9207000732421877e-9,1.1066363457374573
11.25,0.25,0.0,11.250006711558342,1.8310546875e-10,0.9683172256374359
12.0,0.25,0.0,9.000005367628097,-1.615142822265625e-8,1.1066363877372742
11.75,0.25,0.0,9.750005815052987,1.39617919921875e-9,0.9683172180356979
12.5,0.25,0.0,7.5000044616274835,-1.3481712341308593e-7,1.1066367409858704
12.25,0.25,0.0,8.25000490691185,1.171112060546875e-8,0.968317154255867
13.0,0.25,0.0,6.000003469723701,-1.1157207489013672e-6,1.1066397457313537
12.75,0.25,0.0,6.750003907021522,9.669876098632813e-8,0.9683166182394027
13.5,0.25,0.0,4.4999918233327865,-1.2082086563110352e-5,1.1066669516716003
13.25,0.25,0.0,5.25000259043026,6.845169067382812e-7,0.9683120938882828
14.0,0.25,0.0,2.9987344772229196,-0.0005115550880432129,1.1069268157348633
13.75,0.25,0.0,3.7500231150054932,-1.7444801330566407e-6,0.968272925769806
14.5,0.25,0.0,1.4005578231258393,-0.03918305237197876,1.1025386216697692
14.25,0.25,0.0,2.2507885363197326,-0.00024571416091918944,0.9679297964916229
14.75,0.25,0.0,0.6970250641746522,0.009418690422058106,0.9695208570804595
